| table_name               | column_name                 | data_type                | is_nullable | column_default                 | character_maximum_length | numeric_precision |
| ------------------------ | --------------------------- | ------------------------ | ----------- | ------------------------------ | ------------------------ | ----------------- |
| agents                   | id                          | uuid                     | NO          | gen_random_uuid()              | null                     | null              |
| agents                   | organization_id             | uuid                     | YES         | null                           | null                     | null              |
| agents                   | name                        | text                     | NO          | null                           | null                     | null              |
| agents                   | purpose                     | text                     | NO          | null                           | null                     | null              |
| agents                   | prompt_template             | text                     | NO          | null                           | null                     | null              |
| agents                   | variables                   | jsonb                    | NO          | '{}'::jsonb                    | null                     | null              |
| agents                   | is_active                   | boolean                  | NO          | true                           | null                     | null              |
| agents                   | created_at                  | timestamp with time zone | NO          | now()                          | null                     | null              |
| agents                   | updated_at                  | timestamp with time zone | NO          | now()                          | null                     | null              |
| communities              | id                          | uuid                     | NO          | uuid_generate_v4()             | null                     | null              |
| communities              | name                        | character varying        | NO          | null                           | 255                      | null              |
| communities              | address                     | text                     | YES         | null                           | null                     | null              |
| communities              | postal_code                 | character varying        | YES         | null                           | 10                       | null              |
| communities              | admin_contact               | character varying        | YES         | null                           | 255                      | null              |
| communities              | max_units                   | integer                  | YES         | 100                            | null                     | 32                |
| communities              | is_active                   | boolean                  | YES         | true                           | null                     | null              |
| communities              | created_at                  | timestamp with time zone | YES         | now()                          | null                     | null              |
| communities              | updated_at                  | timestamp with time zone | YES         | now()                          | null                     | null              |
| communities              | description                 | text                     | YES         | null                           | null                     | null              |
| communities              | city                        | character varying        | YES         | null                           | 100                      | null              |
| communities              | country                     | character varying        | YES         | null                           | 100                      | null              |
| communities              | user_id                     | uuid                     | YES         | null                           | null                     | null              |
| communities              | organization_id             | uuid                     | NO          | null                           | null                     | null              |
| document_chunks          | id                          | uuid                     | NO          | gen_random_uuid()              | null                     | null              |
| document_chunks          | created_at                  | timestamp with time zone | NO          | now()                          | null                     | null              |
| document_chunks          | document_id                 | uuid                     | NO          | null                           | null                     | null              |
| document_chunks          | organization_id             | uuid                     | NO          | null                           | null                     | null              |
| document_chunks          | chunk_number                | integer                  | NO          | null                           | null                     | 32                |
| document_chunks          | chunk_type                  | text                     | NO          | null                           | null                     | null              |
| document_chunks          | content                     | text                     | NO          | null                           | null                     | null              |
